,Cluster name,Dimension,"Learning time, sec",ARI,AMI,FMI
0,MyKMeans,80,0.4831654999870807,0.028174813172506214,0.077764333252992,0.17612881302917768
1,MyKMeans,10,0.0804391999845393,0.028174813172506214,0.077764333252992,0.17612881302917768
2,MyKMeans,26,0.13883169999462552,0.028174813172506214,0.077764333252992,0.17612881302917768
3,MyKMeans,65,0.37193339999066666,0.028174813172506214,0.077764333252992,0.17612881302917768
0,KMeans,80,0.011488599993754178,0.028740697236215338,0.061604717023299664,0.20875729858482883
1,KMeans,10,0.0047469999990426,0.028693747989848657,0.06269083194103131,0.19418816886893986
2,KMeans,26,0.004544799972791225,0.028740697236215338,0.061604717023299664,0.20875729858482883
3,KMeans,65,0.005598099989583716,0.028740697236215338,0.061604717023299664,0.20875729858482883
0,DBSCAN,80,0.00969263333051155,0.02120781900644615,0.04807548409185794,0.3152926077285485
1,DBSCAN,10,0.0168351999988469,0.02554088971968312,0.04974727460277521,0.3152926077285485
2,DBSCAN,26,0.006572700008594741,0.02120781900644615,0.04807548409185794,0.3152926077285485
3,DBSCAN,65,0.007482033349030341,0.02120781900644615,0.04807548409185794,0.3152926077285485
